"Table 1  Travel burden for hospital care, national, provincial/territorial and regional levels, 2018–2019 to 2022–2023 (5 years of pooled data)",,,,,,,,,,,
Reporting level,Province/territory,Geography code,Region,Rural/remote versus urban,CMG Care Level,CMG Provider Service Group,Metric,Travel burden category,Value,,
Regional,Saskatchewan,4727,Regina Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Very low,83.1,,
Regional,Saskatchewan,4727,Regina Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Low,5.2,,
Regional,Saskatchewan,4727,Regina Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Moderate,4.8,,
Regional,Saskatchewan,4727,Regina Zone,Overall,All levels,Surgery,Percentage of hospitalizations,High,2.1,,
Regional,Saskatchewan,4727,Regina Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Very high,4.8,,
Regional,Saskatchewan,4727,Regina Zone,Overall,All levels,Surgery,Percentage of hospitalizations,High/very high,6.9,,
Regional,Saskatchewan,4727,Regina Zone,Overall,All levels,Surgery,High/very high travel burden hospitalization rate,High/very high,1.5,,
Regional,Saskatchewan,4727,Regina Zone,Overall,All levels,Surgery,Total hospitalization rate,Total,21.9,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Number of hospitalizations,Very low,"48,494",,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Number of hospitalizations,Low,"2,016",,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Number of hospitalizations,Moderate,"2,618",,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Number of hospitalizations,High,429,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Number of hospitalizations,Very high,"1,458",,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Number of hospitalizations,High/very high,"1,887",,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Number of hospitalizations,Total,"55,015",,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Very low,88.1,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Low,3.7,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Moderate,4.8,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Percentage of hospitalizations,High,0.8,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Very high,2.7,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Percentage of hospitalizations,High/very high,3.5,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Total,49.7,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,High/very high travel burden hospitalization rate,High/very high,1.4,,
Regional,Saskatchewan,4727,Regina Zone,Overall,General,All service provider groups,Total hospitalization rate,Total,42.2,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Very low,"38,244",,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Low,"2,080",,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Moderate,"1,486",,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,High,414,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Very high,987,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,High/very high,"1,401",,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Total,"43,211",,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very low,88.5,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Low,4.8,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,3.4,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High,1,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very high,2.3,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High/very high,3.3,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Total,39,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,1.1,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Specialized,All service provider groups,Total hospitalization rate,Total,32.8,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very low,"9,779",,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Low,594,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Moderate,494,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High,379,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very high,"1,235",,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High/very high,"1,614",,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Total,"12,481",,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very low,78.4,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Low,4.8,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Moderate,4,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High,3,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very high,9.9,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High/very high,12.9,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Total,11.3,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,1.2,,
Regional,Saskatchewan,4727,Regina Zone,Overall,Highly specialized,All service provider groups,Total hospitalization rate,Total,9.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Very low,"1,020,306",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Low,"151,601",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Moderate,"216,933",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,High,"125,770",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Very high,"70,696",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,High/very high,"196,466",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Total,"1,585,306",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very low,64.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Low,9.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Moderate,13.7,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,High,7.9,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very high,4.5,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,High/very high,12.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,High/very high travel burden hospitalization rate,High/very high,9.1,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,All service provider groups,Total hospitalization rate,Total,74.1,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Very low,"366,884",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Low,"53,813",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Moderate,"82,002",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Number of hospitalizations,High,"36,235",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Very high,"22,267",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Number of hospitalizations,High/very high,"58,502",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Total,"561,201",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,Very low,65.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,Low,9.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,Moderate,14.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,High,6.5,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,Very high,4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,High/very high,10.5,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,High/very high travel burden hospitalization rate,High/very high,2.7,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Family medicine,Total hospitalization rate,Total,27.2,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Very low,"11,412",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Low,"1,632",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Moderate,"2,442",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,High,"1,795",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Very high,"1,172",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,High/very high,"2,967",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Total,"18,453",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very low,61.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,Low,8.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,Moderate,13.2,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,High,9.7,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very high,6.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,High/very high,16.1,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,High/very high travel burden hospitalization rate,High/very high,0.1,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,General pediatrics,Total hospitalization rate,Total,0.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very low,"62,934",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Low,"7,956",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Moderate,"15,481",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High,"11,570",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very high,"8,793",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High/very high,"20,363",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Total,"106,734",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very low,59,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Low,7.5,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Moderate,14.5,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High,10.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very high,8.2,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High/very high,19,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,High/very high travel burden hospitalization rate,High/very high,1,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Internal medicine and subspecialty,Total hospitalization rate,Total,5.1,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very low,"222,787",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Low,"38,050",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Moderate,"24,975",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High,"10,954",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very high,"5,143",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High/very high,"16,097",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Total,"301,909",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very low,73.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Low,12.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Moderate,8.3,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High,3.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very high,1.7,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High/very high,5.3,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,High/very high travel burden hospitalization rate,High/very high,0.7,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Obstetric and gynecology,Total hospitalization rate,Total,12.9,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Very low,"51,474",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Low,"4,253",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Moderate,"9,004",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,High,"5,572",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Very high,"2,788",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,High/very high,"8,360",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Total,"73,091",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very low,70.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,Low,5.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,Moderate,12.3,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,High,7.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very high,3.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,High/very high,11.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,High/very high travel burden hospitalization rate,High/very high,0.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Psychiatry,Total hospitalization rate,Total,3.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Number of hospitalizations,Very low,"238,827",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Number of hospitalizations,Low,"37,198",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Number of hospitalizations,Moderate,"67,035",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Number of hospitalizations,High,"49,177",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Number of hospitalizations,Very high,"23,952",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Number of hospitalizations,High/very high,"73,129",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Number of hospitalizations,Total,"416,189",,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,Very low,57.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,Low,8.9,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,Moderate,16.1,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,High,11.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,Very high,5.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,High/very high,17.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,High/very high travel burden hospitalization rate,High/very high,3.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,All levels,Surgery,Total hospitalization rate,Total,19.7,,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Number of hospitalizations,Very low,"502,688",,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Number of hospitalizations,Low,"75,162",,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Number of hospitalizations,Moderate,"108,369",,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Number of hospitalizations,High,"51,096",,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Number of hospitalizations,Very high,"32,111",,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Number of hospitalizations,High/very high,"83,207",,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Number of hospitalizations,Total,"769,426",,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Very low,65.3,,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Low,9.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Moderate,14.1,,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,High,6.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Very high,4.2,,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,High/very high,10.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Total,48.5,,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,High/very high travel burden hospitalization rate,High/very high,3.9,,
Provincial/territorial,Alberta,4800,n/a,Overall,General,All service provider groups,Total hospitalization rate,Total,36.7,,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Very low,"420,664",,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Low,"61,712",,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Moderate,"79,847",,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,High,"48,359",,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Very high,"23,216",,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,High/very high,"71,575",,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Total,"633,798",,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very low,66.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Low,9.7,,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,12.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High,7.6,,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very high,3.7,,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High/very high,11.3,,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Total,40,,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,3.3,,
Provincial/territorial,Alberta,4800,n/a,Overall,Specialized,All service provider groups,Total hospitalization rate,Total,28.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very low,"96,954",,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Low,"14,727",,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Moderate,"28,717",,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High,"26,315",,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very high,"15,369",,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High/very high,"41,684",,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Total,"182,082",,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very low,53.2,,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Low,8.1,,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Moderate,15.8,,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High,14.5,,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very high,8.4,,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High/very high,22.9,,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Total,11.5,,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,1.9,,
Provincial/territorial,Alberta,4800,n/a,Overall,Highly specialized,All service provider groups,Total hospitalization rate,Total,8.6,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Very low,"73,292",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Low,"56,372",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Moderate,"110,026",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,High,"88,749",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Very high,"38,968",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,High/very high,"127,717",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Total,"367,407",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,Very low,19.9,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,Low,15.3,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,Moderate,29.9,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,High,24.2,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,Very high,10.6,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,High/very high,34.8,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,High/very high travel burden hospitalization rate,High/very high,31.8,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,All service provider groups,Total hospitalization rate,Total,94.6,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Very low,"47,866",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Low,"24,250",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Moderate,"43,399",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,High,"26,879",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Very high,"12,101",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,High/very high,"38,980",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Total,"154,495",,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,Very low,31,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,Low,15.7,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,Moderate,28.1,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,High,17.4,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,Very high,7.8,,
Provincial/territorial,Alberta,4800,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,High/very high,25.2,,
